velocidad_bala,distancia,altura_bala,salto,agachado
-7,700,2,0,0
-7,693,2,0,0
-7,686,2,0,0
-7,679,2,0,0
-7,672,2,0,0
-7,665,2,0,0
-7,658,2,0,0
-7,651,2,0,0
-7,644,2,0,0
-7,637,2,0,0
-7,630,2,0,0
-7,623,2,0,0
-7,616,2,0,0
-7,609,2,0,0
-7,602,2,0,0
-7,595,2,0,0
-7,588,2,0,0
-7,581,2,0,0
-7,574,2,1,0
-7,567,2,1,0
-7,560,2,1,0
-7,553,2,1,0
-7,546,2,1,0
-7,539,2,1,0
-7,532,2,1,0
-7,525,2,1,0
-7,518,2,1,0
-7,511,2,1,0
-7,504,2,1,0
-7,497,2,1,0
-7,490,2,1,0
-7,483,2,1,0
-7,476,2,1,0
-7,469,2,1,0
-7,462,2,1,0
-7,455,2,1,0
-7,448,2,1,0
-7,441,2,1,0
-7,434,2,1,0
-7,427,2,1,0
-7,420,2,1,0
-7,413,2,1,0
-7,406,2,1,0
-7,399,2,1,0
-7,392,2,1,0
-7,385,2,1,0
-7,378,2,1,0
-7,371,2,1,0
-7,364,2,0,0
-7,357,2,0,0
-7,350,2,1,0
-7,343,2,1,0
-7,336,2,1,0
-7,329,2,1,0
-7,322,2,1,0
-7,315,2,1,0
-7,308,2,1,0
-7,301,2,1,0
-7,294,2,1,0
-7,287,2,1,0
-7,280,2,1,0
-7,273,2,1,0
-7,266,2,1,0
-7,259,2,1,0
-7,252,2,1,0
-7,245,2,1,0
-7,238,2,1,0
-7,231,2,1,0
-7,224,2,1,0
-7,217,2,1,0
-7,210,2,1,0
-7,203,2,1,0
-7,196,2,1,0
-7,189,2,1,0
-7,182,2,1,0
-7,175,2,1,0
-7,168,2,1,0
-7,161,2,1,0
-7,154,2,1,0
-7,147,2,1,0
-7,140,2,0,0
-7,133,2,0,0
-7,126,2,0,0
-7,119,2,0,0
-7,112,2,0,0
-7,105,2,0,0
-7,98,2,0,0
-7,91,2,0,0
-7,84,2,0,0
-7,77,2,0,0
-7,70,2,0,0
-7,63,2,0,0
-7,56,2,1,0
-7,49,2,1,0
-7,42,2,1,0
-7,35,2,1,0
-9,700,1,0,0
-9,691,1,0,0
-9,682,1,0,0
-9,673,1,0,0
-9,664,1,0,0
-9,655,1,0,0
-9,646,1,0,0
-9,637,1,0,0
-9,628,1,0,0
-9,619,1,0,0
-9,610,1,0,0
-9,601,1,1,0
-9,592,1,1,0
-9,583,1,1,0
-9,574,1,1,0
-9,565,1,1,0
-9,556,1,1,0
-9,547,1,1,0
-9,538,1,1,0
-9,529,1,1,0
-9,520,1,1,0
-9,511,1,1,0
-9,502,1,1,0
-9,493,1,1,0
-9,484,1,1,0
-9,475,1,1,0
-9,466,1,1,0
-9,457,1,1,0
-9,448,1,1,0
-9,439,1,1,0
-9,430,1,1,0
-9,421,1,1,0
-9,412,1,1,0
-9,403,1,0,0
-9,394,1,0,0
-9,385,1,0,0
-9,376,1,0,0
-9,367,1,0,0
-9,358,1,0,0
-9,349,1,1,0
-9,340,1,1,0
-9,331,1,1,0
-9,322,1,1,0
-9,313,1,1,0
-9,304,1,1,0
-9,295,1,1,0
-9,286,1,1,0
-9,277,1,1,0
-9,268,1,1,0
-9,259,1,1,0
-9,250,1,1,0
-9,241,1,1,0
-9,232,1,1,0
-9,223,1,1,0
-9,214,1,1,0
-9,205,1,1,0
-9,196,1,1,0
-9,187,1,1,0
-9,178,1,1,0
-9,169,1,1,0
-9,160,1,1,0
-9,151,1,1,0
-9,142,1,1,0
-9,133,1,1,0
-9,124,1,1,0
-9,115,1,1,0
-9,106,1,1,0
-9,97,1,1,0
-9,88,1,1,0
-9,79,1,0,0
-9,70,1,0,0
-9,61,1,0,0
-9,52,1,1,0
-9,43,1,1,0
-9,34,1,1,0
-10,700,1,0,0
-10,690,1,0,0
-10,680,1,0,0
-10,670,1,1,0
-10,660,1,1,0
-10,650,1,1,0
-10,640,1,1,0
-10,630,1,1,0
-10,620,1,1,0
-10,610,1,1,0
-10,600,1,1,0
-10,590,1,1,0
-10,580,1,1,0
-10,570,1,1,0
-10,560,1,1,0
-10,550,1,1,0
-10,540,1,1,0
-10,530,1,1,0
-10,520,1,1,0
-10,510,1,1,0
-10,500,1,1,0
-10,490,1,1,0
-10,480,1,1,0
-10,470,1,1,0
-10,460,1,1,0
-10,450,1,1,0
-10,440,1,1,0
-10,430,1,0,0
-10,420,1,0,0
-10,410,1,0,0
-10,400,1,0,0
-10,390,1,0,0
-10,380,1,1,0
-10,370,1,1,0
-10,360,1,1,0
-10,350,1,1,0
-10,340,1,1,0
-10,330,1,1,0
-10,320,1,1,0
-10,310,1,1,0
-10,300,1,1,0
-10,290,1,1,0
-10,280,1,1,0
-10,270,1,1,0
-10,260,1,1,0
-10,250,1,1,0
-10,240,1,1,0
-10,230,1,1,0
-10,220,1,1,0
-10,210,1,1,0
-10,200,1,1,0
-10,190,1,1,0
-10,180,1,1,0
-10,170,1,1,0
-10,160,1,1,0
-10,150,1,1,0
-10,140,1,1,0
-10,130,1,1,0
-10,120,1,1,0
-10,110,1,1,0
-10,100,1,1,0
-10,90,1,1,0
-10,80,1,0,0
-10,70,1,0,0
-10,60,1,0,0
-10,50,1,1,0
-10,40,1,1,0
-6,700,0,0,0
-6,694,0,0,0
-6,688,0,0,0
-6,682,0,1,0
-6,676,0,1,0
-6,670,0,1,0
-6,664,0,1,0
-6,658,0,1,0
-6,652,0,1,0
-6,646,0,1,0
-6,640,0,1,0
-6,634,0,1,0
-6,628,0,1,0
-6,622,0,1,0
-6,616,0,1,0
-6,610,0,1,0
-6,604,0,1,0
-6,598,0,1,0
-6,592,0,1,0
-6,586,0,1,0
-6,580,0,1,0
-6,574,0,1,0
-6,568,0,1,0
-6,562,0,1,0
-6,556,0,1,0
-6,550,0,1,0
-6,544,0,1,0
-6,538,0,1,0
